Area Codes,All Ages
E01020813,"1,217"
E01020814,"1,406"
E01020815,"1,218"
E01020848,"1,064"
E01020850,"2,178"
E01020851,"1,376"
E01020816,"1,411"
E01020844,"1,495"
E01020847,"1,548"
E01020849,"1,286"
E01020825,"1,553"
E01020831,"1,385"
E01020833,"1,246"
E01020834,"1,300"
E01020824,"1,563"
E01020826,"1,535"
E01020832,"1,427"
E01020845,"1,376"
E01020846,"1,240"
E01020856,"1,530"
E01020858,"1,115"
E01020859,"1,193"
E01020860,"1,070"
E01020861,"1,207"
E01020862,"2,391"
E01020864,"1,969"
E01020867,"2,230"
E01020857,"1,482"
E01020863,"1,387"
E01020865,"1,285"
E01020866,995
E01020852,"1,669"
E01020853,"1,686"
E01020854,"2,592"
E01020855,"1,216"
E06000005,"106,347"
E01012334,"2,485"
E01012335,"1,359"
E01012366,"2,083"
E01033481,"1,607"
E01033482,"1,538"
E01012323,"1,414"
E01012324,"1,351"
E01032545,"1,677"
E01032546,"1,714"
E01012328,"1,514"
E01012329,"1,718"
E01012330,"1,046"
E01012331,"1,137"
E01012349,"1,519"
E01012350,"1,480"
E01012351,"1,469"
E01012352,"1,517"
E01012325,"1,399"
E01012326,"1,163"
E01012332,"1,430"
E01012333,"1,496"
E01012309,"1,885"
E01012310,"2,107"
E01012311,"1,562"
E01012312,"1,349"
E01012313,"1,433"
E01012314,"1,383"
E01012362,"1,293"
E01012363,"1,257"
E01012364,"1,425"
E01012365,"1,167"
E01012353,"1,648"
E01012354,"1,574"
E01012355,"1,529"
E01033483,"1,075"
E01033484,"1,197"
E01012307,"1,821"
E01012327,"1,462"
E01012342,"2,280"
E01012343,"2,220"
E01012315,"1,599"
E01012316,"2,704"
E01012360,"1,686"
E01012336,"1,642"
E01012337,"1,767"
E01012347,"1,649"
E01012348,"2,117"
E01012361,"1,801"
E01012304,"1,088"
E01012305,"1,209"
E01012306,"1,553"
E01012340,"2,348"
E01012341,"1,807"
E01012317,"1,384"
E01012318,"2,467"
E01012319,"2,740"
E01012356,"1,687"
E01012357,"1,407"
E01012358,"1,572"
E01012359,"1,685"
E01012338,"2,105"
E01012339,"1,736"
E01012344,"1,379"
E01012345,"1,595"
E01012346,"1,837"
E06000001,"93,019"
E01011954,"2,155"
E01011969,"1,327"
E01011970,"1,142"
E01011971,"1,394"
E01033465,"1,909"
E01033467,"2,162"
E01011952,"1,765"
E01011953,"2,069"
E01011991,"1,793"
E01011992,"1,473"
E01011993,"1,812"
E01011994,"1,535"
E01011955,"1,367"
E01011957,"1,231"
E01032540,"1,004"
E01032541,"2,219"
E01033466,"2,375"
E01011973,"1,179"
E01011974,"1,722"
E01011975,"1,365"
E01011976,961
E01011965,"1,545"
E01011966,"1,311"
E01011983,"1,627"
E01012002,"1,396"
E01011951,"1,220"
E01011964,"1,345"
E01011967,"1,646"
E01011999,"1,960"
E01012000,"1,442"
E01011950,"1,374"
E01011986,"1,169"
E01011987,"1,423"
E01012001,"2,300"
E01011949,"1,955"
E01011980,"1,635"
E01011981,"1,718"
E01011984,"1,203"
E01011985,"1,284"
E01011988,"1,942"
E01011989,"1,808"
E01011990,"1,757"
E01011995,"1,311"
E01011996,"1,501"
E01011997,"1,937"
E01011998,"1,772"
E01011961,"1,414"
E01011962,"1,437"
E01011977,"1,682"
E01011978,"1,557"
E01011979,"1,755"
E01011959,"2,307"
E01011960,"1,305"
E01011963,"1,326"
E01011968,"2,002"
E01011982,"1,245"
E01012003,"1,450"
E01012005,"1,999"
E06000002,"140,639"
E01012068,"2,294"
E01012092,"2,406"
E01012093,"2,178"
E01012094,"2,944"
E01033468,"3,058"
E01012058,"1,382"
E01012059,"1,602"
E01012060,"1,690"
E01012061,"1,318"
E01012036,"1,751"
E01012037,"1,613"
E01012038,"1,674"
E01012039,"1,732"
E01012040,"1,571"
E01012041,965
E01012074,"1,532"
E01012075,"1,522"
E01012076,"1,546"
E01012077,"1,485"
E01012088,"1,454"
E01012078,"1,465"
E01012079,"1,501"
E01012080,"1,240"
E01012081,"1,791"
E01012026,"1,599"
E01012027,"1,996"
E01033469,"1,840"
E01012015,"1,437"
E01012016,"1,731"
E01012017,"1,534"
E01012089,"1,519"
E01012090,"1,525"
E01012091,"1,739"
E01012011,"1,968"
E01012012,"1,770"
E01012013,"1,350"
E01012014,"1,594"
E01012053,"1,668"
E01012054,"1,779"
E01012055,"1,963"
E01012056,"2,653"
E01012057,"1,945"
E01012082,"1,514"
